"Order";"Level";"Sorting code";"Parent";"Code";"Description";"Remark"
"1644293";"1";"10";;;"<B> CONCEPT: </B> The EU metro regions are NUTS 3 regions or groupings of NUTS 3 regions used as approximations of all agglomerations of at least 250 000 inhabitants. The selection of the NUTS 3 components of the metro regions is based on the definition of Functional urban areas (FUAs). These FUAs contain the major cities and their surrounding commuter belts. ";
"1644294";"1";"20";;"BE001MC";"Bruxelles / Brussel";
"1644295";"1";"30";;"BE001MC_10";"Bruxelles / Brussel (NUTS 2010)";
"1644296";"1";"40";;"BE002M";"Antwerpen";
"1644297";"1";"50";;"BE003M";"Gent";
"1644298";"1";"60";;"BE004M";"Charleroi";
"1644299";"1";"70";;"BE005M";"Liège";
"1644300";"1";"80";;"BE005M_10";"Liège (NUTS 2010)";
"1644301";"1";"90";;"BE_NM";"Non-metropolitan regions in Belgium";
"1644302";"1";"100";;"BG001MC";"Sofia";
"1644303";"1";"110";;"BG002M";"Plovdiv";
"1644304";"1";"120";;"BG003M";"Varna";
"1644305";"1";"130";;"BG004M";"Burgas";
"1644306";"1";"140";;"BG_NM";"Non-metropolitan regions in Bulgaria";
"1644307";"1";"150";;"CZ001MC";"Praha";
"1644308";"1";"160";;"CZ002M";"Brno";
"1644309";"1";"170";;"CZ003M";"Ostrava";
"1644310";"1";"180";;"CZ004M";"Plzen";
"1644311";"1";"190";;"CZ007M";"Liberec";
"1644312";"1";"200";;"CZ_NM";"Non-metropolitan regions in Czech Republic";
"1644313";"1";"210";;"DK001MC";"København";
"1644314";"1";"220";;"DK002M";"Århus";
"1644315";"1";"230";;"DK003M";"Odense";
"1644316";"1";"240";;"DK004M";"Aalborg";
"1644317";"1";"250";;"DK_NM";"Non-metropolitan regions in Denmark";
"1644318";"1";"260";;"DE001MC";"Berlin";
"1644319";"1";"270";;"DE002M";"Hamburg";
"1644320";"1";"280";;"DE003M";"München";
"1644321";"1";"290";;"DE004M";"Köln";
"1644322";"1";"300";;"DE005M";"Frankfurt am Main";
"1644323";"1";"310";;"DE007M";"Stuttgart";
"1644324";"1";"320";;"DE008M";"Leipzig";
"1644325";"1";"330";;"DE009M";"Dresden";
"1644326";"1";"340";;"DE011M";"Düsseldorf";
"1644327";"1";"350";;"DE012M";"Bremen";
"1644328";"1";"360";;"DE013M";"Hannover";
"1644329";"1";"370";;"DE014M";"Nürnberg";
"1644330";"1";"380";;"DE017M";"Bielefeld";
"1644331";"1";"390";;"DE018M";"Halle an der Saale";
"1644332";"1";"400";;"DE019M";"Magdeburg";
"1644333";"1";"410";;"DE020M";"Wiesbaden";
"1644334";"1";"420";;"DE021M";"Göttingen";
"1644335";"1";"430";;"DE025M";"Darmstadt";
"1644336";"1";"440";;"DE027M";"Freiburg im Breisgau";
"1644337";"1";"450";;"DE028M";"Regensburg";
"1644338";"1";"460";;"DE031M";"Schwerin";
"1644339";"1";"470";;"DE032M";"Erfurt";
"1644340";"1";"480";;"DE033M";"Augsburg";
"1644341";"1";"490";;"DE034M";"Bonn";
"1644342";"1";"500";;"DE035M";"Karlsruhe";
"1644343";"1";"510";;"DE036M";"Mönchengladbach";
"1644344";"1";"520";;"DE037M";"Mainz";
"1644345";"1";"530";;"DE038M";"Ruhrgebiet";
"1644346";"1";"540";;"DE039M";"Kiel";
"1644347";"1";"550";;"DE040M";"Saarbrücken";
"1644348";"1";"560";;"DE042M";"Koblenz";
"1644349";"1";"570";;"DE043M";"Rostock";
"1644350";"1";"580";;"DE044M";"Kaiserslautern";
"1644351";"1";"590";;"DE045M";"Iserlohn";
"1644352";"1";"600";;"DE052M";"Flensburg";
"1644353";"1";"610";;"DE053M";"Marburg";
"1644354";"1";"620";;"DE054M";"Konstanz";
"1644355";"1";"630";;"DE057M";"Gießen";
"1644356";"1";"640";;"DE059M";"Bayreuth";
"1644357";"1";"650";;"DE061M";"Aschaffenburg";
"1644358";"1";"660";;"DE063M";"Plauen";
"1644359";"1";"670";;"DE064M";"Neubrandenburg";
"1644360";"1";"680";;"DE064M_10";"Neubrandenburg (NUTS 2010)";
"1644361";"1";"690";;"DE069M";"Rosenheim";
"1644362";"1";"700";;"DE073M";"Offenburg";
"1644363";"1";"710";;"DE074M";"Görlitz";
"1644364";"1";"720";;"DE077M";"Schweinfurt";
"1644365";"1";"730";;"DE079M";"Wetzlar";
"1644366";"1";"740";;"DE083M";"Braunschweig-Salzgitter-Wolfsburg";
"1644367";"1";"750";;"DE084M";"Mannheim-Ludwigshafen";
"1644368";"1";"760";;"DE084M_10";"Mannheim-Ludwigshafen (NUTS 2010)";
"1644369";"1";"770";;"DE502M";"Mannheim";
"1644370";"1";"780";;"DE504M";"Münster";
"1644371";"1";"790";;"DE505M";"Chemnitz";
"1644372";"1";"800";;"DE506M";"Braunschweig";
"1644373";"1";"810";;"DE507M";"Aachen";
"1644374";"1";"820";;"DE510M";"Lübeck";
"1644375";"1";"830";;"DE512M";"Rostock";
"1644376";"1";"840";;"DE513M";"Kassel";
"1644377";"1";"850";;"DE517M";"Osnabrück";
"1644378";"1";"860";;"DE520M";"Oldenburg (Oldenburg)";
"1644379";"1";"870";;"DE522M";"Heidelberg";
"1644380";"1";"880";;"DE522M_10";"Heidelberg (NUTS 2010)";
"1644381";"1";"890";;"DE523M";"Paderborn";
"1644382";"1";"900";;"DE524M";"Würzburg";
"1644383";"1";"910";;"DE526M";"Wolfsburg";
"1644384";"1";"920";;"DE527M";"Bremerhaven";
"1644385";"1";"930";;"DE529M";"Heilbronn";
"1644386";"1";"940";;"DE532M";"Ulm";
"1644387";"1";"950";;"DE533M";"Pforzheim";
"1644388";"1";"960";;"DE534M";"Ingolstadt";
"1644389";"1";"970";;"DE537M";"Reutlingen";
"1644390";"1";"980";;"DE539M";"Cottbus";
"1644391";"1";"990";;"DE540M";"Siegen";
"1644392";"1";"1000";;"DE542M";"Hildesheim";
"1644393";"1";"1010";;"DE544M";"Zwickau";
"1644394";"1";"1020";;"DE546M";"Wuppertal";
"1644395";"1";"1030";;"DE_NM";"Non-metropolitan regions in Germany";
"1644396";"1";"1040";;"EE001MC";"Tallinn";
"1644397";"1";"1050";;"EE_NM";"Non-metropolitan regions in Estonia";
"1644398";"1";"1060";;"IE001MC";"Dublin";
"1644399";"1";"1070";;"IE002M";"Cork";
"1644400";"1";"1080";;"IE_NM";"Non-metropolitan regions in Ireland";
"1644401";"1";"1090";;"EL001MC";"Athina";
"1644402";"1";"1100";;"EL002M";"Thessaloniki";
"1644403";"1";"1110";;"EL_NM";"Non-metropolitan regions in Greece";
"1644404";"1";"1120";;"ES001MC";"Madrid";
"1644405";"1";"1130";;"ES002M";"Barcelona";
"1644406";"1";"1140";;"ES003M";"Valencia";
"1644407";"1";"1150";;"ES004M";"Sevilla";
"1644408";"1";"1160";;"ES005M";"Zaragoza";
"1644409";"1";"1170";;"ES006M";"Málaga - Marbella";
"1644410";"1";"1180";;"ES007M";"Murcia - Cartagena";
"1644411";"1";"1190";;"ES008M";"Las Palmas";
"1644412";"1";"1200";;"ES009M";"Valladolid";
"1644413";"1";"1210";;"ES010M";"Palma de Mallorca";
"1644414";"1";"1220";;"ES012M";"Vitoria/Gasteiz";
"1644415";"1";"1230";;"ES013M";"Oviedo - Gijón";
"1644416";"1";"1240";;"ES014M";"Pamplona/Iruña";
"1644417";"1";"1250";;"ES015M";"Santander";
"1644418";"1";"1260";;"ES019M";"Bilbao";
"1644419";"1";"1270";;"ES020M";"Córdoba";
"1644420";"1";"1280";;"ES021M";"Alicante/Alacant - Elche/Elx";
"1644421";"1";"1290";;"ES022M";"Vigo";
"1644422";"1";"1300";;"ES025M";"Santa Cruz de Tenerife";
"1644423";"1";"1310";;"ES026M";"A Coruña";
"1644424";"1";"1320";;"ES501M";"Granada";
"1644425";"1";"1330";;"ES502M";"Coruña (A)";
"1644426";"1";"1340";;"ES510M";"Donostia-San Sebastián";
"1644427";"1";"1350";;"ES522M";"Cádiz - Algeciras";
"1644428";"1";"1360";;"ES_NM";"Non-metropolitan regions in Spain";
"1644429";"1";"1370";;"FR001MC";"Paris";
"1644430";"1";"1380";;"FR003M";"Lyon";
"1644431";"1";"1390";;"FR004M";"Toulouse";
"1644432";"1";"1400";;"FR006M";"Strasbourg";
"1644433";"1";"1410";;"FR007M";"Bordeaux";
"1644434";"1";"1420";;"FR008M";"Nantes";
"1644435";"1";"1430";;"FR009M";"Lille - Dunkerque - Valenciennes";
"1644436";"1";"1440";;"FR010M";"Montpellier";
"1644437";"1";"1450";;"FR011M";"Saint-Etienne";
"1644438";"1";"1460";;"FR013M";"Rennes";
"1644439";"1";"1470";;"FR014M";"Amiens";
"1644440";"1";"1480";;"FR015M";"Rouen";
"1644441";"1";"1490";;"FR016M";"Nancy";
"1644442";"1";"1500";;"FR017M";"Metz";
"1644443";"1";"1510";;"FR018M";"Reims";
"1644444";"1";"1520";;"FR019M";"Orléans";
"1644445";"1";"1530";;"FR020M";"Dijon";
"1644446";"1";"1540";;"FR021M";"Poitiers";
"1644447";"1";"1550";;"FR022M";"Clermont-Ferrand";
